Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.185 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.098E-02
    1.0000  1.098E-02
    2.0000  1.098E-02
    3.0000  1.097E-02
    4.0000  1.096E-02
    5.0000  1.096E-02
    6.0000  1.095E-02
    7.0000  1.093E-02
    8.0000  1.092E-02
    9.0000  1.090E-02
   10.0000  1.089E-02
   11.0000  1.087E-02
   12.0000  1.084E-02
   13.0000  1.082E-02
   14.0000  1.079E-02
   15.0000  1.076E-02
   16.0000  1.073E-02
   17.0000  1.070E-02
   18.0000  1.067E-02
   19.0000  1.063E-02
   20.0000  1.059E-02
   21.0000  1.055E-02
   22.0000  1.050E-02
   23.0000  1.045E-02
   24.0000  1.040E-02
   25.0000  1.035E-02
   26.0000  1.030E-02
   27.0000  1.024E-02
   28.0000  1.018E-02
   29.0000  1.011E-02
   30.0000  1.005E-02
   31.0000  9.977E-03
   32.0000  9.904E-03
   33.0000  9.828E-03
   34.0000  9.748E-03
   35.0000  9.658E-03
   36.0000  9.572E-03
   37.0000  9.482E-03
   38.0000  9.389E-03
   39.0000  9.292E-03
   40.0000  9.191E-03
   41.0000  9.086E-03
   42.0000  8.984E-03
   43.0000  8.871E-03
   44.0000  8.753E-03
   45.0000  8.632E-03
   46.0000  8.506E-03
   47.0000  8.375E-03
   48.0000  8.240E-03
   49.0000  8.101E-03
   50.0000  7.956E-03
   51.0000  7.807E-03
   52.0000  7.653E-03
   53.0000  7.493E-03
   54.0000  7.329E-03
   55.0000  7.159E-03
   56.0000  6.984E-03
   57.0000  6.803E-03
   58.0000  6.618E-03
   59.0000  6.426E-03
   60.0000  6.230E-03
   61.0000  6.028E-03
   62.0000  5.820E-03
   63.0000  5.607E-03
   64.0000  5.389E-03
   65.0000  5.165E-03
   66.0000  4.937E-03
   67.0000  4.703E-03
   68.0000  4.466E-03
   69.0000  4.224E-03
   70.0000  3.978E-03
   71.0000  3.730E-03
   72.0000  3.478E-03
   73.0000  3.227E-03
   74.0000  2.974E-03
   75.0000  2.723E-03
   76.0000  2.474E-03
   77.0000  2.228E-03
   78.0000  1.986E-03
   79.0000  1.757E-03
   80.0000  1.536E-03
   81.0000  1.327E-03
   82.0000  1.132E-03
   83.0000  9.530E-04
   84.0000  7.905E-04
   85.0000  6.445E-04
   86.0000  5.140E-04
   87.0000  3.977E-04
   88.0000  2.948E-04
   89.0000  2.058E-04
------------------------------------------------------------
