Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.034 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.097E-02
    1.0000  1.097E-02
    2.0000  1.096E-02
    3.0000  1.096E-02
    4.0000  1.095E-02
    5.0000  1.094E-02
    6.0000  1.093E-02
    7.0000  1.092E-02
    8.0000  1.091E-02
    9.0000  1.089E-02
   10.0000  1.087E-02
   11.0000  1.085E-02
   12.0000  1.083E-02
   13.0000  1.080E-02
   14.0000  1.078E-02
   15.0000  1.075E-02
   16.0000  1.072E-02
   17.0000  1.069E-02
   18.0000  1.065E-02
   19.0000  1.061E-02
   20.0000  1.057E-02
   21.0000  1.053E-02
   22.0000  1.048E-02
   23.0000  1.044E-02
   24.0000  1.039E-02
   25.0000  1.033E-02
   26.0000  1.028E-02
   27.0000  1.022E-02
   28.0000  1.016E-02
   29.0000  1.009E-02
   30.0000  1.003E-02
   31.0000  9.957E-03
   32.0000  9.884E-03
   33.0000  9.807E-03
   34.0000  9.727E-03
   35.0000  9.637E-03
   36.0000  9.550E-03
   37.0000  9.460E-03
   38.0000  9.366E-03
   39.0000  9.269E-03
   40.0000  9.167E-03
   41.0000  9.062E-03
   42.0000  8.959E-03
   43.0000  8.845E-03
   44.0000  8.728E-03
   45.0000  8.605E-03
   46.0000  8.479E-03
   47.0000  8.348E-03
   48.0000  8.212E-03
   49.0000  8.072E-03
   50.0000  7.927E-03
   51.0000  7.777E-03
   52.0000  7.623E-03
   53.0000  7.463E-03
   54.0000  7.298E-03
   55.0000  7.128E-03
   56.0000  6.952E-03
   57.0000  6.772E-03
   58.0000  6.586E-03
   59.0000  6.394E-03
   60.0000  6.197E-03
   61.0000  5.995E-03
   62.0000  5.787E-03
   63.0000  5.574E-03
   64.0000  5.356E-03
   65.0000  5.133E-03
   66.0000  4.905E-03
   67.0000  4.672E-03
   68.0000  4.434E-03
   69.0000  4.193E-03
   70.0000  3.948E-03
   71.0000  3.701E-03
   72.0000  3.450E-03
   73.0000  3.200E-03
   74.0000  2.949E-03
   75.0000  2.699E-03
   76.0000  2.452E-03
   77.0000  2.208E-03
   78.0000  1.968E-03
   79.0000  1.741E-03
   80.0000  1.522E-03
   81.0000  1.315E-03
   82.0000  1.123E-03
   83.0000  9.454E-04
   84.0000  7.847E-04
   85.0000  6.401E-04
   86.0000  5.108E-04
   87.0000  3.954E-04
   88.0000  2.933E-04
   89.0000  2.049E-04
------------------------------------------------------------
